CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Cortical_neurons,Hepatocytes,Lung_cells,Pancreatic_beta_cells,Pancreatic_acinar_cells,Pancreatic_duct_cells,Vascular_endothelial_cells,Colon_epithelial_cells,Left_atrium,Bladder,Breast,Head_and_neck_larynx,Kidney,Prostate,Thyroid,Upper_GI,Uterus_cervix
cg24838949,0.9727,0.966,0.9737,0.9694,0.9599,0.973,0.9822,0.9764,0.977,0.869,0.9802,0.97165,0.7348,0.9742,0.9724,0.98,0.9813,0.9834,0.959,0.9812,0.9823,0.9806,0.9818,0.981,0.9778
cg02688393,0.9695,0.9664,0.9659,0.9611,0.961,0.961,0.9785,0.9828,0.9732,0.8637,0.9646,0.887475,0.6294,0.8878,0.9502,0.968,0.9881,0.9659,0.9745,0.9779,0.9831,0.9589,0.9804,0.9763,0.9779
cg14229207,0.9738,0.9646,0.9605,0.966,0.9669,0.9623,0.977,0.938,0.8749,0.9567,0.9233,0.608975,0.1844,0.7799,0.9274,0.9448,0.6195,0.9712,0.8997,0.9535,0.8983,0.9156,0.9634,0.9567,0.9386
cg11867552,0.8634,0.8576,0.8543,0.8532,0.8668,0.8613,0.8898,0.8692,0.856,0.8631,0.8486,0.7524,0.205,0.7986,0.8334,0.8675,0.8828,0.8697,0.8918,0.8623,0.8745,0.8683,0.8567,0.8577,0.8633
cg00228281,0.9172,0.9128,0.9134,0.9115,0.9204,0.9221,0.84,0.9415,0.8939,0.91,0.8854,0.87685,0.2022,0.8589,0.8791,0.9013,0.9015,0.9224,0.9348,0.9501,0.9285,0.9439,0.9373,0.9445,0.9339
cg01270038,0.9756,0.9682,0.9727,0.9738,0.974,0.9751,0.9827,0.9829,0.9777,0.9719,0.9763,0.94215,0.7701,0.9658,0.9567,0.966,0.9852,0.9775,0.98,0.9833,0.9815,0.9811,0.9729,0.9837,0.9806
cg14905600,0.9468,0.9682,0.9705,0.9621,0.9696,0.9366,0.9793,0.977,0.6512,0.9696,0.8602,0.7722,0.2344,0.8606,0.9522,0.9441,0.9814,0.978,0.9224,0.7628,0.9725,0.8488,0.9778,0.8184,0.9741
cg24090529,0.9614,0.9273,0.9494,0.9528,0.96,0.9589,0.9711,0.9744,0.9219,0.9256,0.9387,0.371675,0.1059,0.8373,0.918,0.9332,0.9734,0.9828,0.9649,0.9308,0.9747,0.8498,0.9772,0.4859,0.9589
cg23265009,0.877,0.8096,0.8678,0.8651,0.8758,0.8708,0.9312,0.8845,0.8354,0.8287,0.8746,0.424475,0.1541,0.7916,0.8809,0.8732,0.9197,0.8798,0.8981,0.8522,0.911,0.776,0.9014,0.5036,0.9045
cg19866325,0.9571,0.9582,0.9563,0.9578,0.958,0.9567,0.9736,0.9586,0.9685,0.9543,0.9552,0.753375,0.5113,0.8695,0.9472,0.9662,0.9668,0.9489,0.966,0.9171,0.9723,0.9416,0.958,0.965,0.9558
cg12107530,0.9522,0.9602,0.9508,0.9522,0.9444,0.9624,0.8931,0.9345,0.9348,0.903,0.9069,0.7945,0.1414,0.8401,0.9434,0.948,0.8924,0.9367,0.7823,0.8345,0.9212,0.7407,0.9201,0.9284,0.9018
cg04030444,0.9045,0.9164,0.9118,0.8971,0.9257,0.8944,0.9772,0.9342,0.9256,0.8222,0.8794,0.839625,0.3169,0.8432,0.8821,0.9313,0.9711,0.9508,0.9643,0.9709,0.9574,0.9669,0.9604,0.9578,0.9632
cg27276079,0.9386,0.9364,0.9306,0.9312,0.9402,0.9306,0.966,0.9311,0.9336,0.9139,0.9394,0.782825,0.4061,0.8816,0.8998,0.9328,0.9199,0.977,0.9632,0.977,0.9465,0.9723,0.9413,0.9472,0.9561
cg04489066,0.8399,0.8365,0.8257,0.8248,0.8292,0.8312,0.8844,0.6781,0.8254,0.8442,0.7519,0.643475,0.2527,0.7448,0.7959,0.8412,0.7565,0.8707,0.7908,0.8373,0.7875,0.8471,0.635,0.8098,0.7911
cg00049868,0.9422,0.9444,0.9355,0.9303,0.9408,0.9269,0.9723,0.9052,0.9551,0.888,0.9156,0.7588,0.1689,0.7748,0.9128,0.6466,0.9284,0.9299,0.9437,0.9381,0.9531,0.9251,0.9504,0.9003,0.9258
cg19246065,0.7425,0.7834,0.8067,0.7523,0.8191,0.7381,0.8535,0.6747,0.8116,0.7,0.6713,0.616825,0.1734,0.5729,0.6202,0.4263,0.6506,0.7822,0.7768,0.6996,0.7947,0.7799,0.7841,0.6283,0.7062
cg25342872,0.9531,0.9558,0.9503,0.9558,0.9577,0.9371,0.9493,0.9631,0.9417,0.9372,0.9495,0.886425,0.5719,0.9115,0.9178,0.9345,0.97,0.9773,0.9355,0.9845,0.9851,0.982,0.9807,0.9466,0.9719
cg20458433,0.9727,0.9382,0.9106,0.943,0.9021,0.9652,0.98,0.9585,0.9597,0.4668,0.8886,0.8129,0.2936,0.8615,0.9332,0.9561,0.9628,0.9439,0.9527,0.9721,0.9684,0.9777,0.9689,0.8978,0.9756
cg05242494,0.9525,0.9567,0.9445,0.9435,0.9563,0.95,0.9427,0.9398,0.9303,0.9501,0.9183,0.756,0.2388,0.8015,0.9306,0.9309,0.9543,0.9357,0.9635,0.9706,0.8491,0.9648,0.9549,0.5759,0.9447
cg14570652,0.975,0.9716,0.9681,0.9651,0.9719,0.9713,0.9848,0.9706,0.5775,0.9714,0.9652,0.72475,0.4495,0.8718,0.91,0.964,0.9856,0.9852,0.9839,0.9652,0.9036,0.9769,0.9782,0.9628,0.9779
cg19372975,0.9622,0.9652,0.9594,0.961,0.9696,0.954,0.9752,0.8239,0.7906,0.9486,0.9431,0.821875,0.2027,0.8964,0.7538,0.902,0.8516,0.8939,0.9474,0.919,0.9368,0.9425,0.9583,0.8039,0.9167
cg02201132,0.8808,0.8997,0.8989,0.901,0.9027,0.8407,0.8961,0.7312,0.7283,0.8896,0.8692,0.72715,0.26,0.8254,0.7073,0.8085,0.7786,0.7894,0.8559,0.7965,0.8465,0.8378,0.8619,0.7106,0.8199
cg20333001,0.879,0.8845,0.8748,0.886,0.89,0.8595,0.9037,0.8311,0.7889,0.8849,0.8764,0.749525,0.32,0.8069,0.7756,0.8452,0.8608,0.8428,0.9009,0.8619,0.8825,0.8838,0.8885,0.7828,0.8885
cg24902995,0.9866,0.982,0.9798,0.7781,0.9831,0.971,0.9888,0.9907,0.99,0.5946,0.9861,0.82735,0.3488,0.9224,0.9863,0.9881,0.9914,0.9886,0.7876,0.9737,0.6359,0.98,0.9878,0.9111,0.9871
cg09800974,0.9686,0.9729,0.9709,0.9676,0.9698,0.9718,0.982,0.9732,0.9306,0.8623,0.9741,0.7775,0.4192,0.4572,0.9656,0.9707,0.9732,0.9749,0.9679,0.9746,0.9628,0.9725,0.9759,0.8986,0.9753
cg13398440,0.8147,0.8506,0.8294,0.8401,0.851,0.8337,0.8729,0.8297,0.6448,0.6226,0.785,0.5871,0.3078,0.3002,0.7868,0.8603,0.8052,0.834,0.8243,0.8236,0.7654,0.8256,0.8323,0.7357,0.8645
cg07397481,0.9482,0.9513,0.9397,0.9506,0.9474,0.9504,0.9706,0.9586,0.9577,0.9548,0.9352,0.873825,0.7283,0.9161,0.9144,0.9418,0.9578,0.9586,0.9618,0.9695,0.9643,0.9479,0.9594,0.9641,0.9553
cg07124126,0.9766,0.9733,0.9697,0.974,0.9742,0.9712,0.9898,0.9764,0.9716,0.9651,0.9593,0.939525,0.7419,0.9213,0.956,0.9698,0.9804,0.9719,0.977,0.9846,0.9812,0.9626,0.9752,0.9843,0.9755
cg17019070,0.9782,0.9676,0.9658,0.9715,0.9727,0.9717,0.9905,0.9798,0.9761,0.8567,0.9393,0.8843,0.6178,0.8996,0.9544,0.9695,0.988,0.9866,0.7815,0.9874,0.989,0.9869,0.9825,0.9732,0.9793
cg22672282,0.9688,0.961,0.9506,0.9592,0.946,0.9657,0.9759,0.9625,0.9739,0.7022,0.8937,0.834775,0.4632,0.8589,0.9438,0.9698,0.9724,0.9054,0.956,0.9636,0.9675,0.9705,0.9722,0.9616,0.957
cg04834608,0.9265,0.923,0.9189,0.9201,0.9293,0.9125,0.9712,0.9446,0.9122,0.9176,0.9134,0.762525,0.2078,0.8142,0.8996,0.9144,0.9435,0.9531,0.9517,0.955,0.6965,0.9445,0.9488,0.8765,0.9244
cg13071306,0.9792,0.9833,0.9755,0.97,0.9779,0.9674,0.9762,0.9742,0.6881,0.9905,0.985,0.952975,0.7187,0.9595,0.9776,0.9853,0.9884,0.9827,0.9821,0.9864,0.9887,0.9858,0.9872,0.9769,0.985
cg06875598,0.9655,0.9688,0.9603,0.9598,0.9645,0.9581,0.9839,0.9406,0.9705,0.8985,0.9473,0.852,0.5169,0.7782,0.9314,0.8633,0.9705,0.9327,0.9488,0.9805,0.9838,0.9666,0.9791,0.9615,0.9673
cg13766520,0.8707,0.8916,0.8629,0.8451,0.8776,0.8642,0.9091,0.8495,0.8803,0.78,0.817,0.7498,0.4648,0.7114,0.833,0.8608,0.8638,0.8317,0.8437,0.8804,0.8792,0.8734,0.8768,0.8418,0.8754
cg01119718,0.9695,0.9656,0.963,0.967,0.9654,0.9645,0.9624,0.969,0.944,0.9537,0.9493,0.902275,0.8968,0.2245,0.9291,0.9432,0.97,0.9672,0.9756,0.974,0.9773,0.9736,0.9763,0.967,0.9725
cg16041156,0.8971,0.8917,0.8837,0.8897,0.8839,0.8807,0.9175,0.8273,0.8016,0.8356,0.7528,0.6453,0.733,0.2045,0.8526,0.8888,0.7189,0.8325,0.8483,0.7646,0.8618,0.7691,0.8492,0.7113,0.8487
cg24309040,0.978,0.9762,0.9775,0.9764,0.9759,0.9755,0.9858,0.9696,0.9699,0.9768,0.979,0.4739,0.6963,0.0705,0.9616,0.9749,0.9803,0.9023,0.9785,0.9817,0.9822,0.9558,0.9838,0.9573,0.9612
cg05979433,0.9774,0.9784,0.9724,0.9718,0.9759,0.974,0.986,0.9675,0.971,0.9776,0.9683,0.429025,0.6277,0.0964,0.9102,0.9498,0.9585,0.7979,0.9799,0.9833,0.9814,0.883,0.9836,0.9354,0.9139
cg27650540,0.8936,0.8928,0.8804,0.8976,0.8925,0.8611,0.9245,0.8143,0.848,0.8667,0.8307,0.502175,0.5328,0.1336,0.783,0.8718,0.854,0.8105,0.8561,0.8501,0.8788,0.8295,0.8721,0.7954,0.8305
cg01191815,0.9777,0.9761,0.9728,0.972,0.975,0.9749,0.9827,0.9793,0.9771,0.9747,0.9778,0.91435,0.9268,0.5415,0.9624,0.9746,0.9866,0.9683,0.9774,0.9856,0.884,0.9856,0.9846,0.9882,0.9839
cg03289548,0.9716,0.9713,0.9668,0.9711,0.9718,0.9675,0.9865,0.9788,0.9714,0.512,0.9691,0.814425,0.8576,0.3545,0.9642,0.9717,0.9859,0.9843,0.9862,0.9875,0.9853,0.9859,0.9809,0.984,0.9816
cg12829687,0.9838,0.9831,0.9839,0.9851,0.9844,0.9829,0.9907,0.9889,0.9868,0.4978,0.9882,0.83185,0.872,0.3641,0.9854,0.9881,0.9912,0.9872,0.9918,0.9906,0.9913,0.9899,0.9909,0.9914,0.9903
cg03460534,0.9518,0.9496,0.9524,0.9508,0.9475,0.9412,0.9679,0.6843,0.6468,0.5255,0.5495,0.617925,0.7089,0.3632,0.7167,0.9302,0.63,0.7077,0.8619,0.6501,0.7251,0.7206,0.4997,0.7597,0.6557
cg09705456,0.9867,0.987,0.986,0.9858,0.9858,0.9863,0.9939,0.9878,0.8303,0.9026,0.9877,0.853275,0.879,0.3628,0.9901,0.9896,0.9289,0.9642,0.9925,0.974,0.9877,0.98,0.7321,0.9734,0.9005
cg27456707,0.9792,0.9795,0.9765,0.9764,0.9789,0.9773,0.9885,0.902,0.7095,0.7927,0.9029,0.6928,0.8193,0.3507,0.9279,0.9807,0.7821,0.8226,0.9629,0.8598,0.9003,0.8671,0.5975,0.8684,0.8001
cg03289548,0.9716,0.9713,0.9668,0.9711,0.9718,0.9675,0.9865,0.9788,0.9714,0.512,0.9691,0.814425,0.8576,0.3545,0.9642,0.9717,0.9859,0.9843,0.9862,0.9875,0.9853,0.9859,0.9809,0.984,0.9816
cg12829687,0.9838,0.9831,0.9839,0.9851,0.9844,0.9829,0.9907,0.9889,0.9868,0.4978,0.9882,0.83185,0.872,0.3641,0.9854,0.9881,0.9912,0.9872,0.9918,0.9906,0.9913,0.9899,0.9909,0.9914,0.9903
cg01795199,0.9611,0.9502,0.9515,0.9562,0.9539,0.9532,0.9874,0.9807,0.8892,0.9276,0.9087,0.832325,0.8924,0.4232,0.9268,0.9335,0.981,0.9882,0.9809,0.9816,0.9748,0.9844,0.9473,0.9854,0.9741
cg09807446,0.9722,0.9715,0.9664,0.9676,0.969,0.963,0.9906,0.9343,0.9078,0.946,0.9462,0.899775,0.7239,0.3764,0.892,0.9417,0.9318,0.9647,0.9298,0.9658,0.9865,0.9822,0.9813,0.9641,0.9711
cg24309040,0.978,0.9762,0.9775,0.9764,0.9759,0.9755,0.9858,0.9696,0.9699,0.9768,0.979,0.4739,0.6963,0.0705,0.9616,0.9749,0.9803,0.9023,0.9785,0.9817,0.9822,0.9558,0.9838,0.9573,0.9612
cg05979433,0.9774,0.9784,0.9724,0.9718,0.9759,0.974,0.986,0.9675,0.971,0.9776,0.9683,0.429025,0.6277,0.0964,0.9102,0.9498,0.9585,0.7979,0.9799,0.9833,0.9814,0.883,0.9836,0.9354,0.9139
cg27650540,0.8936,0.8928,0.8804,0.8976,0.8925,0.8611,0.9245,0.8143,0.848,0.8667,0.8307,0.502175,0.5328,0.1336,0.783,0.8718,0.854,0.8105,0.8561,0.8501,0.8788,0.8295,0.8721,0.7954,0.8305
cg22191277,0.9704,0.9736,0.9729,0.9716,0.973,0.972,0.9835,0.9774,0.8655,0.759,0.9719,0.786,0.8333,0.4175,0.9644,0.9714,0.9678,0.9741,0.9742,0.9584,0.9746,0.9707,0.9763,0.9756,0.9769
cg24408776,0.9824,0.9816,0.9719,0.9666,0.9738,0.976,0.9903,0.9813,0.7401,0.9279,0.9804,0.754725,0.8281,0.316,0.9706,0.9748,0.723,0.9918,0.8291,0.9819,0.9652,0.9882,0.987,0.9874,0.9872
cg05803596,0.8916,0.8656,0.8597,0.857,0.8637,0.8818,0.9245,0.8948,0.6989,0.796,0.8544,0.712575,0.749,0.3215,0.8459,0.8633,0.7539,0.916,0.8336,0.9062,0.8921,0.9122,0.8964,0.8815,0.9075
cg06403317,0.9437,0.9437,0.9346,0.9432,0.9478,0.9362,0.9278,0.9536,0.8448,0.8939,0.9393,0.792925,0.8247,0.2144,0.8967,0.9294,0.9553,0.9694,0.9098,0.964,0.9476,0.968,0.9659,0.9682,0.8543
cg07591090,0.9193,0.9204,0.9183,0.9151,0.9256,0.9176,0.9232,0.9293,0.8713,0.9023,0.9101,0.811475,0.8588,0.1238,0.8965,0.903,0.9502,0.9291,0.89,0.9437,0.9197,0.9368,0.9356,0.9326,0.8447
cg21905990,0.9766,0.9706,0.9719,0.9714,0.9727,0.9739,0.9885,0.9865,0.9794,0.926,0.9775,0.889325,0.8556,0.6862,0.9484,0.9759,0.9897,0.9789,0.9749,0.9891,0.9897,0.9809,0.9843,0.9822,0.9849
cg06403317,0.9437,0.9437,0.9346,0.9432,0.9478,0.9362,0.9278,0.9536,0.8448,0.8939,0.9393,0.792925,0.8247,0.2144,0.8967,0.9294,0.9553,0.9694,0.9098,0.964,0.9476,0.968,0.9659,0.9682,0.8543
cg07591090,0.9193,0.9204,0.9183,0.9151,0.9256,0.9176,0.9232,0.9293,0.8713,0.9023,0.9101,0.811475,0.8588,0.1238,0.8965,0.903,0.9502,0.9291,0.89,0.9437,0.9197,0.9368,0.9356,0.9326,0.8447
cg12997579,0.9628,0.9115,0.9622,0.9629,0.9651,0.9676,0.9778,0.8221,0.8163,0.9577,0.9476,0.7584,0.9082,0.3561,0.9338,0.9666,0.933,0.9701,0.9251,0.9364,0.9222,0.965,0.9605,0.9539,0.9571
cg10019392,0.9467,0.9325,0.9448,0.9411,0.9447,0.9423,0.9312,0.9415,0.9114,0.9122,0.8951,0.769075,0.6467,0.1677,0.9135,0.9334,0.9522,0.9381,0.9176,0.8723,0.9193,0.8759,0.9404,0.9057,0.9214
cg05184882,0.9373,0.949,0.9452,0.94,0.9476,0.9356,0.9353,0.9474,0.8854,0.9398,0.9382,0.8379,0.8631,0.3322,0.9252,0.945,0.9248,0.9574,0.9362,0.9498,0.7285,0.9505,0.9452,0.9523,0.9344
cg13441142,0.9468,0.9408,0.9299,0.9392,0.9349,0.9393,0.9681,0.7938,0.9192,0.9328,0.7605,0.42095,0.8021,0.1679,0.9202,0.9423,0.8972,0.8938,0.9043,0.8993,0.9211,0.8517,0.922,0.8279,0.9302
cg02541125,0.9422,0.9398,0.9074,0.9339,0.9444,0.941,0.9403,0.9242,0.8984,0.9137,0.8767,0.39225,0.8443,0.1886,0.9022,0.9186,0.9422,0.9576,0.9488,0.9573,0.9494,0.9443,0.9439,0.927,0.9385
cg06366833,0.9408,0.9512,0.9443,0.9488,0.9505,0.9413,0.9471,0.9319,0.9459,0.9231,0.9426,0.404925,0.8224,0.1626,0.936,0.9141,0.9426,0.9483,0.9572,0.9172,0.8237,0.852,0.9514,0.8815,0.9038
cg20249882,0.9168,0.9171,0.923,0.9169,0.9179,0.9205,0.8615,0.9001,0.8374,0.8067,0.8697,0.78525,0.8183,0.1045,0.8803,0.8605,0.9062,0.921,0.9282,0.9271,0.9169,0.9298,0.9272,0.9191,0.922
cg08216584,0.8858,0.9111,0.9016,0.9044,0.9125,0.8343,0.9263,0.8848,0.8854,0.9143,0.8759,0.810975,0.857,0.1695,0.8937,0.8864,0.9173,0.9261,0.9141,0.9371,0.9094,0.9245,0.931,0.8977,0.933
cg20253172,0.9756,0.9698,0.9669,0.9678,0.9704,0.9666,0.9895,0.9837,0.8896,0.9431,0.879,0.3924,0.8393,0.3923,0.9546,0.9708,0.9757,0.9697,0.9856,0.9755,0.7729,0.9819,0.9775,0.9713,0.9532
cg04127867,0.9624,0.9555,0.953,0.9588,0.9479,0.955,0.9669,0.878,0.9442,0.6388,0.8563,0.84925,0.8894,0.1714,0.8672,0.9591,0.7844,0.9016,0.9497,0.923,0.8088,0.9452,0.8839,0.905,0.8845
cg12557626,0.9581,0.9491,0.9464,0.9488,0.9465,0.9566,0.9399,0.9599,0.9299,0.4335,0.9144,0.8278,0.8426,0.1418,0.888,0.9074,0.7772,0.9759,0.9698,0.9678,0.5863,0.961,0.9639,0.9683,0.9607
cg10870587,0.9248,0.9162,0.9085,0.9018,0.9104,0.9063,0.9659,0.9183,0.9063,0.8816,0.9162,0.82,0.7513,0.2663,0.8988,0.9114,0.9388,0.9526,0.9482,0.9514,0.9335,0.9381,0.9533,0.9202,0.8509
cg01699430,0.9627,0.9511,0.9553,0.9534,0.9577,0.9553,0.9747,0.8424,0.9565,0.9409,0.8727,0.557375,0.7191,0.1986,0.8606,0.9419,0.9099,0.9343,0.9323,0.9744,0.9738,0.9771,0.9691,0.6296,0.9206
cg17304276,0.8889,0.8297,0.8122,0.824,0.7825,0.8729,0.9029,0.576,0.8867,0.7966,0.505,0.385875,0.2843,0.0676,0.596,0.476,0.6474,0.5796,0.7514,0.767,0.8237,0.8605,0.8589,0.4116,0.671
cg06139099,0.9335,0.9298,0.9326,0.9288,0.9298,0.932,0.9178,0.8972,0.8806,0.9113,0.1948,0.31055,0.8001,0.1133,0.9299,0.9273,0.9216,0.7975,0.9376,0.9249,0.927,0.8566,0.9179,0.5836,0.9273
cg00458454,0.9708,0.9691,0.9688,0.9662,0.966,0.9663,0.9877,0.9703,0.9584,0.9704,0.2475,0.3781,0.8227,0.133,0.9635,0.9645,0.977,0.8751,0.9819,0.9804,0.9806,0.9395,0.9749,0.6377,0.9753
cg09800974,0.9686,0.9729,0.9709,0.9676,0.9698,0.9718,0.982,0.9732,0.9306,0.8623,0.9741,0.7775,0.4192,0.4572,0.9656,0.9707,0.9732,0.9749,0.9679,0.9746,0.9628,0.9725,0.9759,0.8986,0.9753
cg13398440,0.8147,0.8506,0.8294,0.8401,0.851,0.8337,0.8729,0.8297,0.6448,0.6226,0.785,0.5871,0.3078,0.3002,0.7868,0.8603,0.8052,0.834,0.8243,0.8236,0.7654,0.8256,0.8323,0.7357,0.8645
cg20099968,0.9157,0.919,0.9121,0.9132,0.9167,0.9117,0.9336,0.8987,0.8993,0.7026,0.8786,0.737525,0.8041,0.1453,0.8852,0.9327,0.9196,0.9054,0.9234,0.9222,0.9113,0.8895,0.9039,0.9167,0.9245
cg27240402,0.9118,0.9068,0.8973,0.9062,0.9146,0.9024,0.918,0.8882,0.871,0.8616,0.898,0.784475,0.8308,0.4257,0.8874,0.9044,0.9213,0.9159,0.9291,0.9196,0.9212,0.9128,0.9153,0.9115,0.9152
cg01196123,0.9107,0.9139,0.9198,0.9162,0.9142,0.9105,0.8948,0.9094,0.8607,0.8808,0.9146,0.56875,0.7675,0.113,0.8616,0.929,0.8857,0.8876,0.8936,0.9342,0.9113,0.92,0.9338,0.9021,0.9
cg21569714,0.9136,0.9254,0.9124,0.9047,0.9333,0.8842,0.9638,0.8918,0.8065,0.9332,0.8879,0.663675,0.6762,0.1074,0.8595,0.9125,0.8984,0.9373,0.9293,0.9559,0.8641,0.8998,0.9522,0.9353,0.7328
cg25439758,0.9536,0.9562,0.9486,0.9514,0.9541,0.9396,0.9834,0.9489,0.9339,0.9456,0.9017,0.42995,0.8603,0.3588,0.9028,0.9433,0.9154,0.9656,0.971,0.9748,0.9671,0.9336,0.8291,0.9574,0.8906
cg21245492,0.9438,0.9494,0.9424,0.9361,0.9436,0.9439,0.8986,0.9264,0.9081,0.8256,0.9131,0.583925,0.5695,0.2211,0.8866,0.9161,0.9238,0.9544,0.9289,0.9444,0.8875,0.9503,0.9462,0.9395,0.9436
cg02329386,0.9174,0.9218,0.9156,0.9211,0.9223,0.9178,0.9022,0.9124,0.9162,0.9081,0.8072,0.612975,0.8322,0.1325,0.9122,0.9287,0.9364,0.6494,0.91,0.9218,0.9226,0.857,0.9357,0.8746,0.935
cg00487989,0.9636,0.9643,0.9659,0.965,0.9696,0.9676,0.9662,0.9571,0.9174,0.8946,0.9193,0.421375,0.7261,0.2239,0.9442,0.82,0.9631,0.8753,0.9556,0.6973,0.9075,0.8673,0.9674,0.912,0.9362
cg14687118,0.9406,0.9411,0.938,0.9438,0.9474,0.9458,0.8112,0.9345,0.7793,0.9228,0.9103,0.53145,0.7812,0.136,0.9207,0.9211,0.9236,0.9426,0.5783,0.9167,0.9174,0.9251,0.9166,0.9416,0.9076
cg02208891,0.9321,0.923,0.919,0.9259,0.9254,0.9288,0.9189,0.8878,0.8015,0.9182,0.9142,0.5723,0.7733,0.2978,0.9117,0.9187,0.9044,0.9384,0.6855,0.9232,0.9256,0.9285,0.9364,0.9322,0.9251
cg24789587,0.9576,0.9525,0.9525,0.9564,0.9572,0.9487,0.9893,0.9436,0.9529,0.956,0.9245,0.790175,0.853,0.4822,0.9217,0.9274,0.7756,0.985,0.9728,0.8529,0.9574,0.9276,0.9807,0.9683,0.8741
cg13517866,0.9438,0.9564,0.954,0.9501,0.951,0.9449,0.8998,0.9437,0.9284,0.5917,0.9246,0.3586,0.7013,0.2051,0.9078,0.9325,0.9234,0.9328,0.9346,0.9373,0.9432,0.9482,0.9453,0.9197,0.9336
cg24652281,0.8248,0.8388,0.8159,0.8013,0.8342,0.772,0.8701,0.8205,0.8379,0.4576,0.8139,0.503425,0.527,0.4071,0.8093,0.7635,0.837,0.8349,0.8666,0.8412,0.851,0.8643,0.8934,0.8043,0.8501
cg26912251,0.6646,0.5582,0.5373,0.6567,0.5141,0.6577,0.789,0.6249,0.7604,0.1728,0.5736,0.227825,0.2112,0.196,0.7248,0.7997,0.688,0.6333,0.6941,0.6412,0.7578,0.7744,0.7946,0.4465,0.7224
cg25544164,0.9804,0.974,0.9774,0.977,0.9793,0.9736,0.9854,0.9679,0.6945,0.3051,0.9753,0.7486,0.8561,0.3249,0.94,0.9609,0.9768,0.9487,0.8746,0.9626,0.7542,0.9672,0.9829,0.9805,0.9605
cg13361749,0.8033,0.7942,0.7688,0.7911,0.7814,0.7748,0.8542,0.8154,0.6426,0.5163,0.7525,0.6851,0.7302,0.4752,0.7303,0.7661,0.8228,0.8223,0.8203,0.8433,0.7782,0.8475,0.8231,0.8091,0.8328
cg10196001,0.9126,0.9177,0.9148,0.9114,0.92,0.9039,0.8437,0.9473,0.9016,0.099,0.9286,0.8615,0.8603,0.1646,0.893,0.9129,0.9308,0.9463,0.9259,0.9389,0.9125,0.9357,0.9353,0.9426,0.9378
cg13441142,0.9468,0.9408,0.9299,0.9392,0.9349,0.9393,0.9681,0.7938,0.9192,0.9328,0.7605,0.42095,0.8021,0.1679,0.9202,0.9423,0.8972,0.8938,0.9043,0.8993,0.9211,0.8517,0.922,0.8279,0.9302
cg02541125,0.9422,0.9398,0.9074,0.9339,0.9444,0.941,0.9403,0.9242,0.8984,0.9137,0.8767,0.39225,0.8443,0.1886,0.9022,0.9186,0.9422,0.9576,0.9488,0.9573,0.9494,0.9443,0.9439,0.927,0.9385
cg00820740,0.9233,0.9173,0.9143,0.9114,0.9173,0.896,0.8899,0.8314,0.9027,0.8964,0.8812,0.827575,0.8785,0.1077,0.8595,0.9374,0.8819,0.9357,0.7316,0.8974,0.451,0.9018,0.9247,0.8955,0.8786
cg04742135,0.9716,0.9652,0.9627,0.9634,0.9662,0.962,0.9767,0.84,0.7672,0.2752,0.9019,0.785575,0.865,0.2851,0.9476,0.9598,0.9719,0.9736,0.9303,0.9331,0.7245,0.9728,0.9784,0.9638,0.921
cg02350535,0.8638,0.8595,0.837,0.8573,0.8393,0.8466,0.8737,0.7623,0.7783,0.2903,0.7941,0.7096,0.7698,0.3617,0.8276,0.8105,0.872,0.8201,0.8341,0.7759,0.6904,0.8525,0.8364,0.8093,0.8355
cg15934634,0.9486,0.9727,0.9732,0.9672,0.9722,0.9711,0.9747,0.9699,0.8514,0.8677,0.7553,0.395875,0.7743,0.3087,0.9547,0.9777,0.9419,0.9385,0.9756,0.9638,0.908,0.9699,0.6753,0.9743,0.8858
cg03108697,0.9136,0.9026,0.9098,0.9098,0.9111,0.9158,0.8843,0.9227,0.8323,0.862,0.9062,0.84955,0.8533,0.2441,0.897,0.9057,0.9072,0.9397,0.6983,0.89,0.8951,0.9001,0.9313,0.8189,0.9245
cg15982595,0.8916,0.8683,0.8342,0.8758,0.8754,0.8872,0.9117,0.8637,0.8761,0.8168,0.905,0.81425,0.8161,0.179,0.8632,0.9086,0.9229,0.909,0.9157,0.9167,0.7047,0.9225,0.9308,0.8695,0.9214
cg16887420,0.8766,0.8832,0.8863,0.8882,0.8984,0.8805,0.902,0.8825,0.805,0.8835,0.8804,0.68955,0.8377,0.1871,0.9056,0.8823,0.8867,0.8989,0.905,0.901,0.8681,0.8979,0.9007,0.8917,0.9046
cg03202545,0.9319,0.9251,0.9238,0.9275,0.9286,0.9257,0.9195,0.871,0.6579,0.6373,0.9232,0.7536,0.8122,0.2031,0.91,0.9236,0.9097,0.9301,0.8158,0.9384,0.8032,0.9283,0.9311,0.9136,0.933
cg10628201,0.9772,0.9737,0.9722,0.9745,0.9726,0.9728,0.9779,0.9352,0.4191,0.9486,0.9502,0.827625,0.8854,0.2438,0.9535,0.9674,0.9626,0.9849,0.6996,0.5168,0.9678,0.5496,0.9771,0.9244,0.9275
